id,name,slug,parent_id,depth,attribute_set_id,meta
"phones-tablets","Phones & Tablets","phones-tablets",,"0",,"{}"
"mobile-phones","Mobile Phones","mobile-phones","phones-tablets","1","mobile-phones","{}"
"smartphones","Smartphones","smartphones","mobile-phones","2","mobile-phones","{}"
"basic-phones","Basic Phones","basic-phones","mobile-phones","2","mobile-phones","{}"
"refurbished-phones","Refurbished Phones","refurbished-phones","mobile-phones","2","mobile-phones","{}"
"rugged-phones","Rugged Phones","rugged-phones","mobile-phones","2","mobile-phones","{}"
"mobile-accessories","Mobile Accessories","mobile-accessories","phones-tablets","1","mobile-accessories","{}"
"chargers-cables","Chargers & Cables","chargers-cables","mobile-accessories","2","mobile-accessories","{}"
"batteries-powerbanks","Batteries & Power Banks","batteries-powerbanks","mobile-accessories","2","mobile-accessories","{}"
"cases-screen-protectors","Cases & Screen Protectors","cases-screen-protectors","mobile-accessories","2","mobile-accessories","{}"
"audio","Audio (Earphones & Headsets)","audio","mobile-accessories","2","mobile-accessories","{}"
"memory-cards","Memory Cards","memory-cards","mobile-accessories","2","mobile-accessories","{}"
"phone-camera-lenses","Phone Camera Lenses","phone-camera-lenses","mobile-accessories","2","mobile-accessories","{}"
"tablets","Tablets","tablets","phones-tablets","1",,"{}"
"ipads","iPads","ipads","tablets","2",,"{}"
"android-tablets","Android Tablets","android-tablets","tablets","2",,"{}"
"educational-tablets","Educational Tablets","educational-tablets","tablets","2",,"{}"
